awb,date,mode,client,origin,destination,consignor,consignee,box,actual_wt,charge_wt,type_of_delivery,insured,remarks,clerk_name,status,frieght_charge,awb_charge,pickup_charge,delivery_charge,packaging_charge,handling_charge
205164,15-07-2026,road,noka frieght carriers pvt ltd,delhi_airport-station,pantnagar,noka frieght carriers pvt ltd,noka frieght carriers pvt ltd,893,0,19382,auto parts,client,,admin,1,0,0,0,0,0,0
205165,15-07-2026,road,noka frieght carriers pvt ltd,delhi-airport,pantnagar,noka frieght carriers pvt ltd,noka frieght carriers pvt ltd,189,0,2977,auto parts,client,,admin,1,0,0,0,0,0,0
205166,15-07-2026,road,noka frieght carriers pvt ltd,delhi-station,pantnagar,noka frieght carriers pvt ltd,noka frieght carriers pvt ltd,869,0,0,auto parts,client,,admin,1,0,0,0,0,0,0
205167,16-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,a1 engineers ,belrise industries ltd unit -ix,2,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205168,15-07-2026,air,belrise industries ltd unit -ix,aurangabad,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,3,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205169,16-07-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205170,16-07-2026,train,himalayan auto era pvt ltd,pantnagar,pune,himalayan auto era pvt ltd,dynarc systems pvt ltd,15,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205171,10-07-2026,air,reutter innovative closure technologies (p) ltd,chennai,jamshedpur,reutter innovative closure technologies (p) ltd,vijayshree autocom ltd,8,0,225,auto parts,client,,admin,0,0,0,0,0,0,0
205172,16-07-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,sansa auto engineering company - pune,dali samir engg pvt ltd- ptn,11,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205173,17-07-2026,road,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,metalfabtech llp,4,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205174,17-07-2026,road,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,5,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205175,17-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,badve autocomps pvt ltd-ii,belrise industries ltd unit -ix,8,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205176,17-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),49,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205177,17-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205178,17-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,2,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205179,17-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sunil,0,0,0,0,0,0,0
205180,18-07-2026,air,starways industries (si),pune,sitarganj,rupkant industries ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205181,18-07-2026,road,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,8,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205182,17-06-2026,road,u. s. auto controls pvt ltd ,pantnagar,pune,harihareshwar auto tech private limited,u. s. auto controls pvt ltd ,18 bag,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205183,18-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),2,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205184,18-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205185,18-07-2026,air,belrise industries ltd ,pune,pantnagar,badve autocomps pvt ltd-ii,belrise industries ltd ,6,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205186,19-07-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205187,18-07-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,sansa auto engineering company - pune,dali samir engg pvt ltd- ptn,25,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205188,19-07-2026,air,belrise industries ltd ,aurangabad ,pantnagar,tirumala multi technologies ,belrise industries ltd ,1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205189,19-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205190,20-07-2026,train,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,42,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205191,20-07-2026,road,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,8,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205192,20-07-2026,train,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,automotive stamping and assembly ltd.,2,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205193,20-07-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205194,19-07-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,sansa auto engineering company - pune,dali samir engg pvt ltd- ptn,7,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205195,20-07-2026,road,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,11,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205196,20-07-2026,air,u. s. auto controls pvt ltd ,pune,bangalore,u. s. auto controls pvt ltd ,neel metal products ltd,4,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205197,20-07-2026,air,belrise industries ltd unit -ix,aurangabad,pantnagar,tirumala multi technologies ,belrise industries ltd unit -ix,5,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205198,20-07-2026,air,panorama automotive ind. pvt. ltd.,pune,pantnagar,shrisaa enterprises ,panorama automotive ind. pvt. ltd.,2,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205199,20-07-2026,train,panorama automotive ind. pvt. ltd.,pune,pantnagar,rk industries ,panorama automotive ind. pvt. ltd.,4,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205200,20-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),6,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205201,20-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205202,21-07-2026,road,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,30,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205203,21-07-2026,road,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,22,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205204,20-07-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,sansa auto engineering company - pune,dali samir engg pvt ltd- ptn,8,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205205,21-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),7,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205206,21-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205207,21-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,7,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205208,21-07-2026,air,crd components ,pune,chennai,premolc industries llp,crd components ,1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205209,21-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205210,22-07-2026,air,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,25,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205211,22-07-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205212,22-07-2026,air,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205213,22-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),11,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205214,22-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,a s industries,belrise industries ltd unit -ix,3,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205215,22-07-2026,air,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,8,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205216,22-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),6,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205217,22-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205218,23-07-2026,air,himalayan auto era pvt ltd,rajkot,pantnagar,dhaval steel forge,himalayan auto era pvt ltd,7,0,0,auto parts ,client,,admin,0,0,0,0,0,0,0
205219,23-07-2026,road,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205220,23-07-2026,air,belrise industries ltd unit -ix,aurangabad,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,9,0,0,auto parts,client,,admin,0,0,0,0,0,0,0
205221,23-07-2026,road,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,21,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205222,23-07-2026,air,belrise industries ltd unit -ix,pune,pantnagar,a1 engineers ,belrise industries ltd unit -ix,14,0,0,auto parts ,client,na,sunil,0,0,0,0,0,0,0
205223,23-07-2026,train,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),12,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205224,23-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),6,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205225,23-07-2026,air,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,4,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205226,24-07-2026,air,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),2,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205227,24-07-2026,air,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,7,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205228,24-07-2026,train,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205229,24-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205230,24-07-2026,air,belrise industries ltd unit -ix,aurangabad,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,11,0,0,auto parts ,client,sai shraddha precision - 01 bag ,sanjit,0,0,0,0,0,0,0
205231,24-07-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto parts ,client,,admin,0,0,0,0,0,0,0
205232,22-07-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,sansa auto engineering company - pune,dali samir engg pvt ltd- ptn,4,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205233,25-07-2026,train,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,4,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205234,25-07-2026,air,starways industries (si),pune,sitarganj,rupkant industries ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205235,25-07-2026,road,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,7,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205236,25-07-2026,road,u. s. auto controls pvt ltd ,pantnagar,pune,harihareshwar auto tech private limited,u. s. auto controls pvt ltd ,20 bag,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205237,25-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),18,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205238,25-07-2026,train,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205239,25-07-2026,air,panorama automotive ind. pvt. ltd.,pune,pantnagar,panorama automotive ind. pvt. ltd.,tata motors limited ,2,0,0,auto parts ,client,bill to panorama automotive ind. pvt. ltd. - pune,sanjit,0,0,0,0,0,0,0
205240,25-07-2026,air,reutter innovative closure technologies (p) ltd,pune,chennai,crd components ,reutter innovative closure technologies (p) ltd,1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205241,25-07-2026,air,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,10,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205242,25-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205243,26-07-2026,road,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,30,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205244,26-07-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),3,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205245,26-07-2026,air,starways industries (si),pune,sitarganj,rupkant industries ,starways industries (si),1,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205246,26-07-2026,air,belrise industries ltd unit -ix,aurangabad,pantnagar,badve autocomps pvt ltd 1k,belrise industries ltd unit -ix,10,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205247,26-07-2026,air,u. s. auto controls pvt ltd ,pune,pantnagar,u. s. auto controls pvt ltd ,harihareshwar auto tech private limited,6,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205248,26-07-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),35,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
205249,27-07-2026,train,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,17,0,0,auto part,client,,sunil,0,0,0,0,0,0,0
205250,27-07-2026,road,sky 4 pune,pune,pantnagar,l & l prodicts india pvt. ltd.,l & l prodicts india pvt. ltd.,4,0,0,auto part,client,automotive sidcul,sunil,0,0,0,0,0,0,0
205251,27-07-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,dali samir engg.pvt ltd-pune,dali samir engg pvt ltd- ptn,25,0,0,auto parts ,client,na,sanjit,0,0,0,0,0,0,0
